Date,Open,High,Low,Close,Volume,Adjusted Close,RD1_Open,RD_P1_Open,RD_B1_Open,RD3_Open,RD_P3_Open,RD_B3_Open,RD5_Open,RD_P5_Open,RD_B5_Open,RD30_Open,RD_P30_Open,RD_B30_Open,RD1_High,RD_P1_High,RD_B1_High,RD3_High,RD_P3_High,RD_B3_High,RD5_High,RD_P5_High,RD_B5_High,RD30_High,RD_P30_High,RD_B30_High,RD1_Low,RD_P1_Low,RD_B1_Low,RD3_Low,RD_P3_Low,RD_B3_Low,RD5_Low,RD_P5_Low,RD_B5_Low,RD30_Low,RD_P30_Low,RD_B30_Low,RD1_Close,RD_P1_Close,RD_B1_Close,RD3_Close,RD_P3_Close,RD_B3_Close,RD5_Close,RD_P5_Close,RD_B5_Close,RD30_Close,RD_P30_Close,RD_B30_Close,RD1_Volume,RD_P1_Volume,RD_B1_Volume,RD3_Volume,RD_P3_Volume,RD_B3_Volume,RD5_Volume,RD_P5_Volume,RD_B5_Volume,RD30_Volume,RD_P30_Volume,RD_B30_Volume,RD1_Adjusted Close,RD_P1_Adjusted Close,RD_B1_Adjusted Close,RD3_Adjusted Close,RD_P3_Adjusted Close,RD_B3_Adjusted Close,RD5_Adjusted Close,RD_P5_Adjusted Close,RD_B5_Adjusted Close,RD30_Adjusted Close,RD_P30_Adjusted Close,RD_B30_Adjusted Close
1993-07-07,441.399994,443.630005,441.399994,442.829987,253170000.0,442.829987,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1993-07-08,442.839996,448.640015,442.839996,448.640015,282910000.0,448.640015,1.440002,0.326235165286,1,,,0,,,0,,,0,5.01001,1.12932171935,1,,,0,,,0,,,0,1.440002,0.326235165286,1,,,0,,,0,,,0,5.810028,1.31202225923,1,,,0,,,0,,,0,29740000.0,11.7470474385,1,,,0,,,0,,,0,5.810028,1.31202225923,1,,,0,,,0,,,0
1993-07-09,448.640015,448.940002,446.73999,448.109985,235210000.0,448.109985,5.800019,1.30973242083,1,,,0,,,0,,,0,0.299987,0.066865859034,1,,,0,,,0,,,0,3.899994,0.880677905164,1,,,0,,,0,,,0,-0.53003,-0.118141490344,0,,,0,,,0,,,0,-47700000.0,-16.8604856668,0,,,0,,,0,,,0,-0.53003,-0.118141490344,0,,,0,,,0,,,0
1993-07-12,448.130005,449.109985,447.709991,448.980011,202310000.0,448.980011,-0.51001,-0.113679115315,0,6.730011,1.52469666776,1,,,0,,,0,0.169983,0.0378631886762,1,5.47998,1.2352590984,1,,,0,,,0,0.970001,0.217128759841,1,6.309997,1.42954170498,1,,,0,,,0,0.870026,0.194154566763,1,6.150024,1.38880025756,1,,,0,,,0,-32900000.0,-13.9875005314,0,-50860000.0,-20.0892680807,0,,,0,,,0,0.870026,0.194154566763,1,6.150024,1.38880025756,1,,,0,,,0
1993-07-13,449.0,450.700012,448.070007,448.089996,236720000.0,448.089996,0.869995,0.194138975363,1,6.160004,1.39102250376,1,,,0,,,0,1.590027,0.354039556702,1,2.059997,0.459164793849,1,,,0,,,0,0.360016,0.0804127688095,1,5.230011,1.18101595322,1,,,0,,,0,-0.890015,-0.19823042857,0,-0.550019,-0.122596955601,0,,,0,,,0,34410000.0,17.0085512333,1,-46190000.0,-16.326747022,0,,,0,,,0,-0.890015,-0.19823042857,0,-0.550019,-0.122596955601,0,,,0,,,0
1993-07-14,448.079987,451.119995,448.079987,450.079987,297430000.0,450.079987,-0.920013,-0.204902672606,0,-0.560028,-0.12482792022,0,6.679993,1.51336499565,1,,,0,0.419983,0.0931845992496,1,2.179993,0.485586713211,1,7.48999,1.68834161702,1,,,0,0.00997999999998,0.00222733051623,1,1.339997,0.299950089536,1,6.679993,1.51336499565,1,,,0,1.989991,0.444105206044,1,1.970002,0.43962466045,1,7.25,1.6371971666,1,,,0,60710000.0,25.6463332207,1,62220000.0,26.4529569321,1,44260000.0,17.48232413,1,,,0,1.989991,0.444105206044,1,1.970002,0.43962466045,1,7.25,1.6371971666,1,,,0
1993-07-15,450.089996,450.119995,447.26001,449.220001,277810000.0,449.220001,2.010009,0.44858263219,1,1.959991,0.437371070478,1,7.25,1.63716016292,1,,,0,-1.0,-0.221670511412,0,1.01001,0.224891459494,1,1.47998,0.329881408371,1,,,0,-0.819977,-0.18299790747,0,-0.449981,-0.100507250016,0,4.420014,0.998106322808,1,,,0,-0.859986,-0.191074036802,0,0.23999,0.0534522682792,1,0.579986,0.129276475706,1,,,0,-19620000.0,-6.59651010322,0,75500000.0,37.3189659434,1,-5100000.0,-1.80269343608,0,,,0,-0.859986,-0.191074036802,0,0.23999,0.0534522682792,1,0.579986,0.129276475706,1,,,0
1993-07-16,449.070007,449.079987,445.660004,445.75,263100000.0,445.75,-1.019989,-0.226618900457,0,0.070007,0.0155917594655,1,0.429992,0.0958434347413,1,,,0,-1.040008,-0.231051277782,0,-1.620025,-0.359446407115,0,0.139985,0.0311812267511,1,,,0,-1.600006,-0.357735090155,0,-2.410003,-0.537863048709,0,-1.079986,-0.241748225853,0,,,0,-3.470001,-0.772450245375,0,-2.339996,-0.522215630987,0,-2.359985,-0.526653071567,0,,,0,-14710000.0,-5.29498578165,0,26380000.0,11.1439675566,1,27890000.0,11.8574890523,1,,,0,-3.470001,-0.772450245375,0,-2.339996,-0.522215630987,0,-2.359985,-0.526653071567,0,,,0
1993-07-19,445.75,446.779999,444.829987,446.029999,216370000.0,446.029999,-3.320007,-0.739307223428,0,-2.329987,-0.519993543028,0,-2.380005,-0.531096997176,0,,,0,-2.299988,-0.512155532774,0,-4.339996,-0.962049132848,0,-2.329986,-0.518800756567,0,,,0,-0.830017,-0.186244444767,0,-3.25,-0.725316928738,0,-2.880004,-0.643274453976,0,,,0,0.279999,0.0628152551879,1,-4.049988,-0.899837388237,0,-2.950012,-0.657047513859,0,,,0,-46730000.0,-17.7613074876,0,-81060000.0,-27.253471405,0,14060000.0,6.94973061144,1,,,0,0.279999,0.0628152551879,1,-4.049988,-0.899837388237,0,-2.950012,-0.657047513859,0,,,0
1993-07-20,446.029999,447.630005,443.709991,447.309998,277420000.0,447.309998,0.279999,0.0628152551879,1,-4.059997,-0.902041155343,0,-2.970001,-0.661470155902,0,,,0,0.850006,0.190251578384,1,-2.48999,-0.553183601631,0,-3.070007,-0.681164170903,0,,,0,-1.119996,-0.251780687618,0,-3.550019,-0.793726002913,0,-4.360016,-0.973065800407,0,,,0,1.279999,0.286975988806,1,-1.910003,-0.42518209246,0,-0.779998,-0.174071728216,0,,,0,61050000.0,28.2155566853,1,-390000.0,-0.140383715489,0,40700000.0,17.1933085502,1,,,0,1.279999,0.286975988806,1,-1.910003,-0.42518209246,0,-0.779998,-0.174071728216,0,,,0
1993-07-21,447.279999,447.5,445.839996,447.179993,278590000.0,447.179993,1.25,0.280250208013,1,-1.790008,-0.39860332957,0,-0.799988,-0.178536873596,0,,,0,-0.130005,-0.0290429592627,0,-1.579987,-0.351827524213,0,-3.619995,-0.80244614296,0,,,0,2.130005,0.480044408105,1,0.179992,0.0403877391699,1,-2.239991,-0.499908736161,0,,,0,-0.130005,-0.0290637366885,0,1.429993,0.320806057207,1,-2.899994,-0.644328582422,0,,,0,1170000.0,0.421743205248,1,15490000.0,5.88749524895,1,-18840000.0,-6.33426352419,0,,,0,-0.130005,-0.0290637366885,0,1.429993,0.320806057207,1,-2.899994,-0.644328582422,0,,,0
1993-07-22,447.179993,447.230011,443.720001,444.51001,249630000.0,444.51001,-0.100006,-0.0223587015345,0,1.429993,0.320806057207,1,-2.910003,-0.646538031474,0,,,0,-0.269989,-0.0603327374302,0,0.450012,0.100723398766,1,-2.889984,-0.642047461144,0,,,0,-2.119995,-0.475505791096,0,-1.109986,-0.249530389686,0,-3.540009,-0.791487931148,0,,,0,-2.669983,-0.5970712111,0,-1.519989,-0.340781786743,0,-4.709991,-1.04848203319,0,,,0,-28960000.0,-10.3952044223,0,33260000.0,15.3718167953,1,-28180000.0,-10.1436233397,0,,,0,-2.669983,-0.5970712111,0,-1.519989,-0.340781786743,0,-4.709991,-1.04848203319,0,,,0
